City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mogadishu,2.0371,45.3438,78.8,65,90,9.22,SO,1620282929
Borogontsy,62.6683,131.1683,45.07,58,100,6.42,RU,1620282929
Avarua,-21.2078,-159.775,77.0,78,90,5.75,CK,1620282929
Cape Town,-33.9258,18.4232,59.0,88,40,23.02,ZA,1620282929
San Quintín,30.4833,-115.95,60.69,87,0,3.58,MX,1620282930
Busselton,-33.65,115.3333,66.0,86,23,1.99,AU,1620282930
Ambon City,-3.6954,128.1814,82.4,83,40,4.61,ID,1620282930
Puerto Ayora,-0.7393,-90.3518,75.0,94,0,5.99,EC,1620282930
Pisco,-13.7,-76.2167,64.4,88,75,3.44,PE,1620282931
Hilo,19.7297,-155.09,75.2,73,90,4.68,US,1620282931
Rikitea,-23.1203,-134.9692,75.92,81,98,15.28,PF,1620282779
Port Hedland,-20.3167,118.5667,87.8,62,100,10.36,AU,1620282931
Saint-Philippe,-21.3585,55.7679,75.2,94,90,8.05,RE,1620282931
Vaini,-21.2,-175.2,73.4,100,75,11.5,TO,1620282932
Akdepe,42.0551,59.3788,78.8,38,0,6.91,TM,1620282932
Tocopilla,-22.092,-70.1979,66.31,67,84,3.4,CL,1620282932
Villarrica,-25.75,-56.4333,54.54,98,100,9.01,PY,1620282932
Bundaberg,-24.85,152.35,75.0,46,100,10.36,AU,1620282723
Sinnamary,5.3833,-52.95,75.69,89,98,3.74,GF,1620282933
Ponta do Sol,32.6667,-17.1,57.99,61,16,3.0,PT,1620282933
Wewak,-3.5534,143.6268,84.85,72,100,7.87,PG,1620282933
Dolinsk,47.35,142.8,57.2,51,40,15.66,RU,1620282933
Hurghada,27.2574,33.8129,90.41,30,0,13.91,EG,1620282934
Vao,-22.6667,167.4833,74.64,76,10,3.33,NC,1620282934
Port Lincoln,-34.7333,135.8667,72.01,41,35,9.6,AU,1620282934
Erdenet,49.0333,104.0833,47.23,33,32,13.85,MN,1620282934
Jaqué,7.5175,-78.1703,77.29,86,87,3.29,PA,1620282935
Hasaki,35.7333,140.8333,78.01,49,75,12.66,JP,1620282935
Gold Coast,-28.0,153.4333,71.6,64,0,5.75,AU,1620282935
Tilichiki,60.4667,166.1,26.11,86,44,8.3,RU,1620282935
Samarai,-10.6167,150.6667,80.94,68,0,9.44,PG,1620282935
Zhalantun,48.0,122.7167,63.0,23,100,3.98,CN,1620282936
Punta Arenas,-53.15,-70.9167,41.0,87,0,10.36,CL,1620282801
São Filipe,14.8961,-24.4956,71.64,77,21,5.88,CV,1620282936
El Real de Santa Maria,8.109,-77.7325,73.18,98,100,0.98,PA,1620282936
Broken Hill,-31.95,141.4333,66.2,32,100,12.66,AU,1620282936
College,64.8569,-147.8028,51.8,54,40,4.61,US,1620282937
Sabang,5.8933,95.3214,83.7,67,100,5.75,ID,1620282937
Kumul,42.8,93.45,83.23,5,100,2.68,CN,1620282937
Lorengau,-2.0226,147.2712,83.52,76,88,4.25,PG,1620282937
Hobart,-42.8794,147.3294,64.0,63,20,17.27,AU,1620282778
Ushuaia,-54.8,-68.3,35.6,87,20,16.11,AR,1620282796
Northam,51.0333,-4.2167,42.01,92,100,4.0,GB,1620282938
Bathsheba,13.2167,-59.5167,75.2,73,75,18.41,BB,1620282938
San Patricio,28.017,-97.5169,69.8,94,1,4.45,US,1620282938
Kuching,1.55,110.3333,89.6,66,40,4.61,MY,1620282938
Taoudenni,22.6783,-3.9836,80.17,20,0,9.48,ML,1620282939
Chokwé,-24.5333,32.9833,72.1,60,86,2.75,MZ,1620282939
Jamestown,42.097,-79.2353,39.2,87,75,8.05,US,1620282939
Erenhot,43.6475,111.9767,45.81,30,97,24.79,CN,1620282786
Hermanus,-34.4187,19.2345,59.0,92,100,20.74,ZA,1620282939
Buala,-8.145,159.5921,82.94,77,64,6.42,SB,1620282940
Yellowknife,62.456,-114.3525,37.4,52,40,8.05,CA,1620282940
Sarangani,5.4033,125.4636,83.61,76,100,22.84,PH,1620282940
